Category,Product Name,Brand,Variant/Size,Flavour,Price (Rs),MRP (Rs),Discount %,Description,Key Benefits,Rating,No. of Reviews,Diet Type,Image URL 1,Image URL 2,Image URL 3,Product URL
Whey Proteins,Optimum Nutrition (ON) Gold Standard Whey Protein Powder,Optimum Nutrition,152 g,,799,5429,85%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-OPT-1002-PA-1772085018-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/optimum-nutrition-on-100-whey-gold-standard-2
Whey Proteins,"Nakpro Nutrition Impact Whey Protein Isolate & Concentrate | 24g Protein | Trustified Certified | Added Digestive Enzymes, Vitamins & Minerals",Nakpro,24g,,1228,3429,64%,,,4.6,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-3709-featured_image-Nakpro_Impact_Whey_Protein.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/nakpro-impact-whey-protein
Whey Proteins,Naturaltein Whey Protein,Naturaltein,1 kg,,2499,3429,27%,,,4.3,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1022-PA-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-whey-protein
Whey Proteins,MuscleTech NitroTech Whey Protein,MuscleTech,907 g,,3499,3429,21%,,,4.6,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2022/01/NB-MUT-1015-32-01x-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/muscletech-nitrotech-performance-series
Whey Proteins,Isopure Low Carb Whey Protein Isolate Powder,Isopure,500 g,,2779,5429,49%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-ISO-1002-PA-1768484418-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/natures-best-isopure-low-carb
Whey Proteins,AS-IT-IS Atom Whey Protein with Enzymeblend,AS-IT-IS,1 kg,,2799,3429,18%,,,4.4,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2021/12/NB-ASI-1021-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/as-it-is-atom-whey-protein-with-digestive-enzymes
Whey Proteins,Dymatize ISO 100 Hydrolyzed - Whey Protein Isolate,Dymatize,2.3 kg,,14999,3429,21%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-2750-featured_image-Dymatize_ISO_100_Hydrolyzed__100_Whey_Protein_Isolate.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/dymatize-iso-100-protein
Whey Proteins,Dymatize Elite Whey Protein,Dymatize,2.3 kg,,8999,3429,21%,,,4.7,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/04/NB-DYM-1002-10-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/dymatize-elite-100-whey-protein
Whey Proteins,Nakpro Nutrition Perform Whey Protein Supplement Powder,Nakpro,1 kg,,1693,3429,51%,,,4.2,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2021/08/NB-NAK-1005-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/nakpro-perform-whey-protein-supplement-powder
Whey Proteins,Ultimate Nutrition Prostar 100 Whey Protein,,2.39 kg,,7349,5429,17%,,,4.7,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2017/11/NB-ULT-1000-02-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/ultimate-nutrition-prostar-100-whey-protein
Whey Proteins,Nakpro Nutrition Platinum Whey Protein Isolate Supplement Powder,Nakpro,1 kg,,2934,5429,46%,,,4.2,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NAK-1000-PA-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/nakpro-platinum-100-whey-protein-isolate-supplement-powder
